time,day,number
第1回,1994年10月7日,191
第2回,1994年10月14日,988
第3回,1994年10月21日,194
第4回,1994年10月28日,105
第5回,1994年11月4日,592
第6回,1994年11月11日,792
第7回,1994年11月18日,708
第8回,1994年11月25日,234
第9回,1994年12月2日,243
第10回,1994年12月9日,340
第11回,1994年12月16日,326
第12回,1994年12月23日,247
第13回,1994年12月30日,229
第14回,1995年1月6日,743
第15回,1995年1月10日,19
第16回,1995年1月13日,179
第17回,1995年1月17日,475
第18回,1995年1月20日,291
第19回,1995年1月24日,852
第20回,1995年1月27日,502
第21回,1995年1月31日,558
第22回,1995年2月3日,951
第23回,1995年2月7日,912
第24回,1995年2月10日,39
第25回,1995年2月14日,458
第26回,1995年2月17日,984
第27回,1995年2月21日,917
第28回,1995年2月24日,789
第29回,1995年2月28日,589
第30回,1995年3月3日,725
第31回,1995年3月7日,73
第32回,1995年3月10日,547
第33回,1995年3月14日,63
第34回,1995年3月17日,634
第35回,1995年3月21日,333
第36回,1995年3月24日,405
第37回,1995年3月28日,168
第38回,1995年3月31日,389
第39回,1995年4月4日,587
第40回,1995年4月7日,304
第41回,1995年4月11日,48
第42回,1995年4月14日,228
第43回,1995年4月18日,922
第44回,1995年4月21日,697
第45回,1995年4月25日,970
第46回,1995年4月28日,298
第47回,1995年5月2日,989
第48回,1995年5月5日,202
第49回,1995年5月9日,476
第50回,1995年5月12日,42
第51回,1995年5月16日,802
第52回,1995年5月19日,717
第53回,1995年5月23日,889
第54回,1995年5月26日,226
第55回,1995年5月30日,728
第56回,1995年6月2日,929
第57回,1995年6月6日,836
第58回,1995年6月9日,383
第59回,1995年6月13日,410
第60回,1995年6月16日,980
第61回,1995年6月20日,542
第62回,1995年6月23日,725
第63回,1995年6月27日,251
第64回,1995年6月30日,260
第65回,1995年7月4日,588
第66回,1995年7月7日,512
第67回,1995年7月11日,512
第68回,1995年7月14日,750
第69回,1995年7月18日,902
第70回,1995年7月21日,963
第71回,1995年7月25日,661
第72回,1995年7月28日,879
第73回,1995年8月1日,452
第74回,1995年8月4日,174
第75回,1995年8月8日,283
第76回,1995年8月11日,238
第77回,1995年8月15日,972
第78回,1995年8月18日,241
第79回,1995年8月22日,310
第80回,1995年8月25日,882
第81回,1995年8月29日,269
第82回,1995年9月1日,144
第83回,1995年9月5日,174
第84回,1995年9月8日,882
第85回,1995年9月12日,307
第86回,1995年9月15日,864
第87回,1995年9月19日,370
第88回,1995年9月22日,739
第89回,1995年9月26日,697
第90回,1995年9月29日,689
